,tokenID,name,image,animation_url,pot,pet,bark,leaves,fruit,numberOfFruit,groundCover,background
0,1,Bonsai #1,https://ipfs.io/ipfs/QmUM3JD5nPJCvRXHDk6ALuhd4a4Y1LCFYC1buE1QG2DivH,https://ipfs.io/ipfs/QmaefCX5771DcRBb9W4nwzD3BfGQyAg42WKPRxtrDbGXLA,Modern Ash,Golden Mantis,Birch,Red Maple,Ancient Apple,12,None,day
1,2,Bonsai #2,https://ipfs.io/ipfs/QmcVedgC31BsLAZaKiCTN8n8U7FADrWZ5fxLCvCcp81BL3,https://ipfs.io/ipfs/Qmbuw8iGebyHUduR75DZSQJst3BgxT3sF6k9D1e7zoJyLM,Midnight Clay,Robin,Yakisugi,Yakisugi Maple,Old Seed,13,rock,day
2,3,Bonsai #3,https://ipfs.io/ipfs/QmWKij6omUn5Kspc6xUv2ALTh9CB57ZERLuFLjZzt8hJMq,https://ipfs.io/ipfs/QmY7w26GooTd9DSbaKC3MQ17EVGaWBue5dRYWwZZXSE14S,Yellow Plastic,Magpie,Wenge,Yakisugi Maple,Old Seed,13,kerria,night
3,4,Bonsai #4,https://ipfs.io/ipfs/QmS5vNozUj9sMBjhNsZwTV77Udfj8EtzA55pCzDY7CVY12,https://ipfs.io/ipfs/QmP2hcVUAGfuhDehLpryMbcb7WEbdydLJvdseMWqeFmRnY,Yellow Plastic,Bamboo,Golden,Yakisugi Maple,None,0,rock,day
4,5,Bonsai #5,https://ipfs.io/ipfs/QmNuc9ddPUdJ9QGpi7yzcoBsJoYoxrUxZyGrrZRzqfPCR4,https://ipfs.io/ipfs/QmQ4WjhPCmJHgfvp3YxwgiYDoYsMMjznnLWb4ikdL2ZzyT,Modern White,Magpie,Cedar,Sakura,None,0,kerria,day
5,6,Bonsai #6,https://ipfs.io/ipfs/QmdqDbfrEowTpmrJwA9sAkFsxu6FvwseLEZEe1yRtcdegy,https://ipfs.io/ipfs/QmUzZGUGBxmCk7p6rN6cH6D7EJvNYjj5FMC6AtwNw5armm,Midnight Clay,Robin,Golden,Yakisugi Maple,None,0,rock,day
6,7,Bonsai #7,https://ipfs.io/ipfs/QmetWysNXY1rX6E28eSL9ptPo33GpwLw7fBnK47gVFgoEc,https://ipfs.io/ipfs/QmdSfiTc79WyZozfxs2fJeNL8ER6ZYLXW27jmf2gEpm9GN,Ancient Realm,Golden Mantis,Cedar,Summer Simple,Lime,11,None,Space
7,8,Bonsai #8,https://ipfs.io/ipfs/QmQaECjXKX4kRA7fxHQu4xTXArK2m7mvR8VjW88AoMqRxq,https://ipfs.io/ipfs/Qmf42HjCuhPHS5Snd5KU1t6tpVVskYZ6PfHvHf1T56Vftr,Yellow Plastic,Magpie,Elm,Yakisugi Maple,None,0,rock,day
8,9,Bonsai #9,https://ipfs.io/ipfs/QmXmanrGifCschT2pJ2hJPa8CtLxokk4YYVNTZRNMLe8bE,https://ipfs.io/ipfs/Qmbn3LUFrMkpPPnpvhEPXj6WzsnH9qa9NxmdKZdKWe5RB5,Sunset Clay,Magpie,Birch,Sakura,None,0,grass,day
9,10,Bonsai #10,https://ipfs.io/ipfs/QmYukkL3TWQU8QMJSmcmUXhagDJPfitgSTebjf8M64JbwF,https://ipfs.io/ipfs/QmVwof5QtJbmNWS6KKN5uSNqBjCnRMqWvv5rjw2moNfrzk,Red Plastic,Mantis,Golden,Red Maple,None,0,hydrangea,day
